venue_name,venue_id,sample_venue_url,activity_names,activity_ids
ActiveSG Courts @ Farrer Park,ZzOIBo3bAxKtZbDfRyxlM,https://activesg.gov.sg/facility-bookings/activities/BPQihVHITc7IPGorVeB2Y/venues/ZzOIBo3bAxKtZbDfRyxlM/timeslots,Pickleball | Free To Play Pickleball,BPQihVHITc7IPGorVeB2Y | FzbXNGKouomWJ4x9uPKrh
ActiveSG Hockey Village @ Boon Lay Futsal Pitch,wgAoxeZVI9pO2ItFEcHaY,https://activesg.gov.sg/facility-bookings/activities/CF6ecxA4HkJgUabDMGsWo/venues/wgAoxeZVI9pO2ItFEcHaY/timeslots,Futsal,CF6ecxA4HkJgUabDMGsWo
ActiveSG Hockey Village @ Boon Lay Hockey 5s Pitch,usHFVVePdIc7s5Or5geJx,https://activesg.gov.sg/facility-bookings/activities/oiJVOW7FNTuKB07f1JaZU/venues/usHFVVePdIc7s5Or5geJx/timeslots,Hockey | Hockey (Night),oiJVOW7FNTuKB07f1JaZU | W8c1ujw048h9x2zq41dBA
ActiveSG Sport Park @ Bedok North,Yc4uczgA8kzc9UDaUfAWS,https://activesg.gov.sg/facility-bookings/activities/BPQihVHITc7IPGorVeB2Y/venues/Yc4uczgA8kzc9UDaUfAWS/timeslots,Pickleball | Basketball,BPQihVHITc7IPGorVeB2Y | CyIu0PE42fqR0SHD7XwMB
ActiveSG Sport Park @ Teck Ghee Futsal Pitch,cWjh0qfm1QlAc7zBodTrr,https://activesg.gov.sg/facility-bookings/activities/CF6ecxA4HkJgUabDMGsWo/venues/cWjh0qfm1QlAc7zBodTrr/timeslots,Futsal,CF6ecxA4HkJgUabDMGsWo
ActiveSG Sport Park @ Teck Ghee Outdoor Courts,LTr2zrpBMEB5ZStM7dEKS,https://activesg.gov.sg/facility-bookings/activities/9cFQTCUF86O2OrQK79Bgz/venues/LTr2zrpBMEB5ZStM7dEKS/timeslots,Basketball 3x3 | Free To Play,9cFQTCUF86O2OrQK79Bgz | naPJABNOkipmCtzJsHzHo
ActiveSG Sport Village @ Jurong Town - ActiveGroove Dance Zone,QyW8aCni0Q5uXKeG4XXfU,https://activesg.gov.sg/facility-bookings/activities/DbJUiIz38SkngQHk2Eg07/venues/QyW8aCni0Q5uXKeG4XXfU/timeslots,Dance,DbJUiIz38SkngQHk2Eg07
ActiveSG Sport Village @ Jurong Town Football Field,bdUXdlXQ6XQA0YnW1Xj5L,https://activesg.gov.sg/facility-bookings/activities/NgyHfjIo82MJwxldnLRxi/venues/bdUXdlXQ6XQA0YnW1Xj5L/timeslots,Soccer (5-A-Side) | Soccer (7-A-Side),NgyHfjIo82MJwxldnLRxi | qncjv4qUwFjNBWiracXd9
ActiveSG Sport Village @ Jurong Town Hockey Pitch,i9efqiOq9yQaPr2JQQpAt,https://activesg.gov.sg/facility-bookings/activities/oiJVOW7FNTuKB07f1JaZU/venues/i9efqiOq9yQaPr2JQQpAt/timeslots,Hockey | Hockey (Night),oiJVOW7FNTuKB07f1JaZU | W8c1ujw048h9x2zq41dBA
ActiveSG Sport Village @ Jurong Town Multi-Purpose Courts,RqFUpWU1CRBb1GRpEoi7t,https://activesg.gov.sg/facility-bookings/activities/hPnw2Ge2q70MouHQNISJe/venues/RqFUpWU1CRBb1GRpEoi7t/timeslots,Handball | Hockey,hPnw2Ge2q70MouHQNISJe | oiJVOW7FNTuKB07f1JaZU
