id,slug,name,brand,category,category_slug,sku,barcode,size,uom,price,usual_price,carton_price,origin,dietary,tags,image_url,listing_on_ecomm,is_archived,raw_json
0f3b73a44876f0b3754131a8,france-juliet-organic-apple-800-g,France Juliet Organic Apple,,Fruits Apple & Pears,,,,800 g,PKT,8.45,0,0,,,,https://ssecomm.s3.ap-southeast-1.amazonaws.com/products/md/DcHYHNqhb1uyPDYqBvjEkRXgHv00Zr.0.jpg,True,False,"{""_id"": ""0f3b73a44876f0b3754131a8"", ""associatedPromoRules"": {}, ""bcrs"": {""containerQty"": 0, ""depositPerUnit"": 0.1, ""enabled"": false}, ""canPurchaseInCarton"": false, ""cartonPrice"": 0, ""categoryIds"": [{""buffer"": {""$binary"": ""3OIntBu3Lfykfvks""}}], ""categoryKeywords"": ""Fruits Apple & Pears"", ""dataUpdatedAt"": 1772470213255, ""imgKey"": ""DcHYHNqhb1uyPDYqBvjEkRXgHv00Zr"", ""isArchived"": false, ""isCartonPickingEnabled"": false, ""isInfantMilk"": false, ""isNFS"": false, ""isSoldOut"": false, ""isTop"": true, ""listingOnEcomm"": true, ""name"": ""France Juliet Organic Apple"", ""packSize"": ""800 g"", ""prevPrice"": 0, ""price"": 8.45, ""slug"": ""france-juliet-organic-apple-800-g"", ""tag"": """", ""tagSlug"": """", ""uomDetails"": {""base"": ""PKT"", ""conversion"": 14, ""id"": ""CTN""}}"
2b5888f737a909acb9bafee4,ok-durian-black-gold-msw-400g,OK Durian Black Gold MSW,,Fruits Tropical & Exotic Fruit,,,,400g,BOX,38,0,0,,,Online Exclusive,https://ssecomm.s3.ap-southeast-1.amazonaws.com/products/md/n20JnRi8ed7dmMmjBqVK1Nm0hBupR5.0.jpg,True,False,"{""_id"": ""2b5888f737a909acb9bafee4"", ""associatedPromoRules"": {}, ""bcrs"": {""containerQty"": 0, ""depositPerUnit"": 0.1, ""enabled"": false}, ""canPurchaseInCarton"": false, ""cartonPrice"": 0, ""categoryIds"": [{""buffer"": {""$binary"": ""IFQNusAAURk29SUY""}}], ""categoryKeywords"": ""Fruits Tropical & Exotic Fruit"", ""dataUpdatedAt"": 1759462879477, ""imgKey"": ""n20JnRi8ed7dmMmjBqVK1Nm0hBupR5"", ""isArchived"": false, ""isCartonPickingEnabled"": false, ""isInfantMilk"": false, ""isNFS"": false, ""isSoldOut"": false, ""isTop"": true, ""listingOnEcomm"": true, ""name"": ""OK Durian Black Gold MSW"", ""packSize"": ""400g"", ""prevPrice"": 0, ""price"": 38, ""slug"": ""ok-durian-black-gold-msw-400g"", ""tag"": ""Online Exclusive"", ""tagSlug"": ""online-exclusive"", ""uomDetails"": {""base"": ""BOX"", ""conversion"": 1, ""id"": ""BOX""}}"
9867533344c1fd6c61abd572,ok-durian-raja-kunyit-400g,OK Durian Raja Kunyit,,Fruits Tropical & Exotic Fruit,,,,400g,BOX,45,0,0,,,Online Exclusive,https://ssecomm.s3.ap-southeast-1.amazonaws.com/products/md/vXqOllLBUxJ8OfLX9QqRdnZ3jWDL7t.0.jpg,True,False,"{""_id"": ""9867533344c1fd6c61abd572"", ""associatedPromoRules"": {}, ""bcrs"": {""containerQty"": 0, ""depositPerUnit"": 0.1, ""enabled"": false}, ""canPurchaseInCarton"": false, ""cartonPrice"": 0, ""categoryIds"": [{""buffer"": {""$binary"": ""IFQNusAAURk29SUY""}}], ""categoryKeywords"": ""Fruits Tropical & Exotic Fruit"", ""dataUpdatedAt"": 1759509527282, ""imgKey"": ""vXqOllLBUxJ8OfLX9QqRdnZ3jWDL7t"", ""isArchived"": false, ""isCartonPickingEnabled"": false, ""isInfantMilk"": false, ""isNFS"": false, ""isSoldOut"": false, ""isTop"": true, ""listingOnEcomm"": true, ""name"": ""OK Durian Raja Kunyit"", ""packSize"": ""400g"", ""prevPrice"": 0, ""price"": 45, ""slug"": ""ok-durian-raja-kunyit-400g"", ""tag"": ""Online Exclusive"", ""tagSlug"": ""online-exclusive"", ""uomDetails"": {""base"": ""BOX"", ""conversion"": 1, ""id"": ""BOX""}}"
a471d69cf66ea7b5571c4be9,ok-durian-raja-kunyit-set-of-3-box-3-x-400-g,OK Durian Raja Kunyit (Set of 3 Box),,Fruits Tropical & Exotic Fruit,,,,3 x 400 g,BOX,118,0,0,,,Online Exclusive,https://ssecomm.s3.ap-southeast-1.amazonaws.com/products/md/GaeamJtAiLr2H26RaVijuM3vk9iivp.0.jpg,True,False,"{""_id"": ""a471d69cf66ea7b5571c4be9"", ""associatedPromoRules"": {}, ""bcrs"": {""containerQty"": 0, ""depositPerUnit"": 0.1, ""enabled"": false}, ""canPurchaseInCarton"": false, ""cartonPrice"": 0, ""categoryIds"": [{""buffer"": {""$binary"": ""IFQNusAAURk29SUY""}}], ""categoryKeywords"": ""Fruits Tropical & Exotic Fruit"", ""dataUpdatedAt"": 1759509527227, ""imgKey"": ""GaeamJtAiLr2H26RaVijuM3vk9iivp"", ""isArchived"": false, ""isCartonPickingEnabled"": false, ""isInfantMilk"": false, ""isNFS"": false, ""isSoldOut"": false, ""isTop"": true, ""listingOnEcomm"": true, ""name"": ""OK Durian Raja Kunyit (Set of 3 Box)"", ""packSize"": ""3 x 400 g"", ""prevPrice"": 0, ""price"": 118, ""slug"": ""ok-durian-raja-kunyit-set-of-3-box-3-x-400-g"", ""tag"": ""Online Exclusive"", ""tagSlug"": ""online-exclusive"", ""uomDetails"": {""base"": ""BOX"", ""conversion"": 1, ""id"": ""BOX""}}"
c02436e102895fb6a237ed5f,ok-durian-black-gold-msw-set-of-3-box-3-x-400-g,OK Durian Black Gold MSW (Set of 3 box),,Fruits Tropical & Exotic Fruit,,,,3 x 400 g,BOX,99,0,0,,,Online Exclusive,https://ssecomm.s3.ap-southeast-1.amazonaws.com/products/md/9vVFEx9Tiw8988juU6i5V9Ecl4TKsY.0.jpg,True,False,"{""_id"": ""c02436e102895fb6a237ed5f"", ""associatedPromoRules"": {}, ""bcrs"": {""containerQty"": 0, ""depositPerUnit"": 0.1, ""enabled"": false}, ""canPurchaseInCarton"": false, ""cartonPrice"": 0, ""categoryIds"": [{""buffer"": {""$binary"": ""IFQNusAAURk29SUY""}}], ""categoryKeywords"": ""Fruits Tropical & Exotic Fruit"", ""dataUpdatedAt"": 1759462879429, ""imgKey"": ""9vVFEx9Tiw8988juU6i5V9Ecl4TKsY"", ""isArchived"": false, ""isCartonPickingEnabled"": false, ""isInfantMilk"": false, ""isNFS"": false, ""isSoldOut"": false, ""isTop"": true, ""listingOnEcomm"": true, ""name"": ""OK Durian Black Gold MSW (Set of 3 box)"", ""packSize"": ""3 x 400 g"", ""prevPrice"": 0, ""price"": 99, ""slug"": ""ok-durian-black-gold-msw-set-of-3-box-3-x-400-g"", ""tag"": ""Online Exclusive"", ""tagSlug"": ""online-exclusive"", ""uomDetails"": {""base"": ""BOX"", ""conversion"": 1, ""id"": ""BOX""}}"
aae6a7de131ed9888485402f,boncafe-colombiana-instant-coffee-50-g,Colombiana Instant Coffee,Boncafe,Beverages Coffee,,,,50 g,PCS,4.3,0,0,,,,https://ssecomm.s3.ap-southeast-1.amazonaws.com/products/md/Czr7gvVoO314KUO0POpx3nJFt9bEDa.0.jpg,True,False,"{""_id"": ""aae6a7de131ed9888485402f"", ""associatedPromoRules"": {}, ""bcrs"": {""containerQty"": 0, ""depositPerUnit"": 0.1, ""enabled"": false}, ""brand"": ""Boncafe"", ""canPurchaseInCarton"": true, ""cartonPrice"": 0, ""categoryIds"": [{""buffer"": {""$binary"": ""2iccsMYZxJ7dDoU3""}}], ""categoryKeywords"": ""Beverages Coffee"", ""dataUpdatedAt"": 1777569228401, ""imgKey"": ""Czr7gvVoO314KUO0POpx3nJFt9bEDa"", ""isArchived"": false, ""isCartonPickingEnabled"": true, ""isInfantMilk"": false, ""isNFS"": false, ""isSoldOut"": false, ""isTop"": true, ""listingOnEcomm"": true, ""name"": ""Colombiana Instant Coffee"", ""packSize"": ""50 g"", ""prevPrice"": 0, ""price"": 4.3, ""slug"": ""boncafe-colombiana-instant-coffee-50-g"", ""tag"": """", ""tagSlug"": """", ""uomDetails"": {""base"": ""PCS"", ""conversion"": 12, ""id"": ""CTN""}}"
3ac6a5f8929a0ea1fa97afee,ji-li-roasted-chestnuts-150-g,Roasted Chestnuts,Ji Li,Snacks & Confectioneries Nuts Seeds,,,,150 g,PCS,2.2,0,0,,,,https://ssecomm.s3.ap-southeast-1.amazonaws.com/products/md/b7vbXuzU9OHG5IaXoiXsE0P76VAa21.0.jpg,True,False,"{""_id"": ""3ac6a5f8929a0ea1fa97afee"", ""associatedPromoRules"": {""9a7c16a07ce8b849a51048f0"": {""_id"": ""9a7c16a07ce8b849a51048f0"", ""criteria"": {""items"": [{""id"": ""3ac6a5f8929a0ea1fa97afee""}], ""quantity"": {""1"": 2}}, ""description"": ""Buy 2 for $2.70"", ""label"": ""Buy 2 for $2.70"", ""name"": ""DF-JILI/2F$2.7"", ""priority"": 0, ""promoData"": {""price"": {""1"": 2.7}}, ""tiers"": 1, ""type"": ""bundle""}}, ""bcrs"": {""containerQty"": 0, ""depositPerUnit"": 0.1, ""enabled"": false}, ""brand"": ""Ji Li"", ""canPurchaseInCarton"": true, ""cartonPrice"": 0, ""categoryIds"": [{""buffer"": {""$binary"": ""JMSd1eY9/u765z7n""}}], ""categoryKeywords"": ""Snacks & Confectioneries Nuts Seeds"", ""dataUpdatedAt"": 1779642852067, ""imgKey"": ""b7vbXuzU9OHG5IaXoiXsE0P76VAa21"", ""isArchived"": false, ""isCartonPickingEnabled"": true, ""isInfantMilk"": false, ""isNFS"": false, ""isSoldOut"": false, ""isTop"": true, ""listingOnEcomm"": true, ""name"": ""Roasted Chestnuts"", ""packSize"": ""150 g"", ""prevPrice"": 0, ""price"": 2.2, ""slug"": ""ji-li-roasted-chestnuts-150-g"", ""tag"": """", ""tagSlug"": """", ""uomDetails"": {""base"": ""PCS"", ""conversion"": 40, ""id"": ""CTN""}}"
103dfcd27bb09d80212e2552,kit-kat-chunky-milk-chocolate-40-g,Chunky Milk Chocolate,Kit Kat,Snacks & Confectioneries Chocolates Sweets,,,,40 g,PCS,2.2,0,0,,,,https://ssecomm.s3.ap-southeast-1.amazonaws.com/products/md/CYNvj5CTsf4YstcnRRaiNjk5sMeP3o.0.jpg,True,False,"{""_id"": ""103dfcd27bb09d80212e2552"", ""associatedPromoRules"": {}, ""bcrs"": {""containerQty"": 0, ""depositPerUnit"": 0.1, ""enabled"": false}, ""brand"": ""Kit Kat"", ""canPurchaseInCarton"": false, ""cartonPrice"": 0, ""categoryIds"": [{""buffer"": {""$binary"": ""00hvA2Ye7/nOzb6o""}}], ""categoryKeywords"": ""Snacks & Confectioneries Chocolates Sweets"", ""dataUpdatedAt"": 1779317210889, ""imgKey"": ""CYNvj5CTsf4YstcnRRaiNjk5sMeP3o"", ""isArchived"": false, ""isCartonPickingEnabled"": false, ""isInfantMilk"": false, ""isNFS"": false, ""isSoldOut"": false, ""isTop"": true, ""listingOnEcomm"": true, ""name"": ""Chunky Milk Chocolate"", ""packSize"": ""40 g"", ""prevPrice"": 0, ""price"": 2.2, ""slug"": ""kit-kat-chunky-milk-chocolate-40-g"", ""uomDetails"": {""base"": ""PCS"", ""conversion"": 24, ""id"": ""CTN""}}"
00d92d9a6e24b2d2b71e3bd0,sponge-scrubbers-5-pcs,Sponge Scrubbers,,Household Cleaning Supplies Accessories Dishwashing,,,,5 pcs,PCS,1.61,0,0,,,,https://ssecomm.s3.ap-southeast-1.amazonaws.com/products/md/fpzy97a7QnB85zEJxhp449kpediyrc.0.jpg,True,False,"{""_id"": ""00d92d9a6e24b2d2b71e3bd0"", ""associatedPromoRules"": {}, ""bcrs"": {""containerQty"": 0, ""depositPerUnit"": 0.1, ""enabled"": false}, ""canPurchaseInCarton"": true, ""cartonPrice"": 0, ""categoryIds"": [{""buffer"": {""$binary"": ""VRvRVdJ9Dc5HQUFo""}}, {""buffer"": {""$binary"": ""xhBkiMOvDanyhFZz""}}], ""categoryKeywords"": ""Household Cleaning Supplies Accessories Dishwashing"", ""dataUpdatedAt"": 1758632095280, ""imgKey"": ""fpzy97a7QnB85zEJxhp449kpediyrc"", ""isArchived"": false, ""isCartonPickingEnabled"": true, ""isInfantMilk"": false, ""isNFS"": false, ""isSoldOut"": false, ""isTop"": false, ""listingOnEcomm"": true, ""name"": ""Sponge Scrubbers"", ""packSize"": ""5 pcs"", ""prevPrice"": 0, ""price"": 1.61, ""slug"": ""sponge-scrubbers-5-pcs"", ""uomDetails"": {""base"": ""PCS"", ""conversion"": 10, ""id"": ""CTN""}}"
0272e624c9f46127eedfabea,fried-shallot-200-g,Fried Shallot,,Dried Food & Herbs Shallots Crackers,,,,200 g,PCS,6.86,0,0,,,,https://ssecomm.s3.ap-southeast-1.amazonaws.com/products/md/pzDkbVZSW611f0ZdKfXACUIzy1BLYZ.0.jpg,True,False,"{""_id"": ""0272e624c9f46127eedfabea"", ""associatedPromoRules"": {}, ""bcrs"": {""containerQty"": 0, ""depositPerUnit"": 0.1, ""enabled"": false}, ""canPurchaseInCarton"": true, ""cartonPrice"": 0, ""categoryIds"": [{""buffer"": {""$binary"": ""TYX++GN5MNPaw7vt""}}], ""categoryKeywords"": ""Dried Food & Herbs Shallots Crackers"", ""dataUpdatedAt"": 1763144544868, ""imgKey"": ""pzDkbVZSW611f0ZdKfXACUIzy1BLYZ"", ""isArchived"": false, ""isCartonPickingEnabled"": true, ""isInfantMilk"": false, ""isNFS"": false, ""isSoldOut"": false, ""isTop"": false, ""listingOnEcomm"": true, ""name"": ""Fried Shallot"", ""packSize"": ""200 g"", ""prevPrice"": 0, ""price"": 6.86, ""slug"": ""fried-shallot-200-g"", ""uomDetails"": {""base"": ""PCS"", ""conversion"": 10, ""id"": ""CTN""}}"
